"#","00_NOM","01_DATA NAIXEMENT","02_RESPONSABLE 1","03_TELÃˆFON RESP. 1","04_MÃ’BIL RESP. 1","05_ADREÃ‡A ELECTR. RESP. 1","06_RESPONSABLE 2","07_TELÃˆFON RESP. 2","08_MÃ’BIL RESP. 2","09_ADREÃ‡A ELECTR. RESP. 2","10_ADREÃ‡A","11_LOCALITAT","12_CORREU ELECTRÃ’NIC","13_ALTRES TELÃˆFONS","14_CENTRE PROCEDÃˆNCIA","15_GRUPSCLASSE"
"1","Farre Escobar, Adrián","07/06/1994","Carrera Colomer, Eva","+34 XXXXXXX","+34 XXXXXXX","c/ del General Mariona Mendez Ramos","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","eva@mailintaor.com","c/ de l'aviador Mariona Mendez Ramos","L'Armentera","adrian@mailintaor.com","","La Salle","ESO1A"
"1","Soler Guzman, Naia","04/05/1997","Valle Valverde, Irene","+34 XXXXXXX","+34 XXXXXXX","c/ del General Carla Miranda Soria","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","irene@mailintaor.com","c/ de l'aviador Carla Miranda Soria","L'Armentera","naia@mailintaor.com","","La Salle","ESO1A"
"1","Moya Marquez, Carla","03/08/1999","Bautista Flores, Ona","+34 XXXXXXX","+34 XXXXXXX","c/ del General Adriana Busquets Galvez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ona@mailintaor.com","c/ de l'aviador Adriana Busquets Galvez","L'Armentera","carla@mailintaor.com","","La Salle","ESO1A"
"1","Rueda Gonzalez, Erik","18/05/1998","Vives Borras, Quim","+34 XXXXXXX","+34 XXXXXXX","c/ del General Judith Collado Robles","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","quim@mailintaor.com","c/ de l'aviador Judith Collado Robles","L'Armentera","erik@mailintaor.com","","La Salle","ESO1A"
"1","Planas Barrera, Joel","05/12/1993","Ortega Muñoz, Lucía","+34 XXXXXXX","+34 XXXXXXX","c/ del General Judit Arenas Puig","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","lucia@mailintaor.com","c/ de l'aviador Judit Arenas Puig","L'Armentera","joel@mailintaor.com","","La Salle","ESO1A"
"1","Prieto Murillo, Marta","03/11/1994","Rovira Miralles, Judit","+34 XXXXXXX","+34 XXXXXXX","c/ del General Jaume Ibañez Calvo","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","judit@mailintaor.com","c/ de l'aviador Jaume Ibañez Calvo","L'Armentera","marta@mailintaor.com","","La Salle","ESO1A"
"1","Valle Blasco, Oriol","16/01/1995","Serrano Santos, Eva","+34 XXXXXXX","+34 XXXXXXX","c/ del General Bernat Pastor Bermudez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","eva@mailintaor.com","c/ de l'aviador Bernat Pastor Bermudez","L'Armentera","oriol@mailintaor.com","","La Salle","ESO1A"
"1","Sabate Lorente, Eloi","18/08/1992","Pons Gracia, Andrea","+34 XXXXXXX","+34 XXXXXXX","c/ del General Albert Reina Ribas","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","andrea@mailintaor.com","c/ de l'aviador Albert Reina Ribas","L'Armentera","eloi@mailintaor.com","","La Salle","ESO1A"
"1","Gimenez Marti, Ariadna","09/01/1990","Montoya Peña, Queralt","+34 XXXXXXX","+34 XXXXXXX","c/ del General Víctor Beltran Diez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","queralt@mailintaor.com","c/ de l'aviador Víctor Beltran Diez","L'Armentera","ariadna@mailintaor.com","","La Salle","ESO1A"
"1","Pereira Soria, Marta","04/10/1994","Plaza Piñol, Inés","+34 XXXXXXX","+34 XXXXXXX","c/ del General Abril Rivera Avila","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ines@mailintaor.com","c/ de l'aviador Abril Rivera Avila","L'Armentera","marta@mailintaor.com","","La Salle","ESO1A"
"1","Avila Aranda, Albert","08/01/1991","Soto Bermudez, Helena","+34 XXXXXXX","+34 XXXXXXX","c/ del General Abril Moya Nieto","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","helena@mailintaor.com","c/ de l'aviador Abril Moya Nieto","L'Armentera","albert@mailintaor.com","","La Salle","ESO1A"
"1","Figueras Viñas, Leyre","10/01/1996","Singh Pozo, Alejandro","+34 XXXXXXX","+34 XXXXXXX","c/ del General Arnau Cardenas Ferre","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","alejandro@mailintaor.com","c/ de l'aviador Arnau Cardenas Ferre","L'Armentera","leyre@mailintaor.com","","La Salle","ESO1A"
